pvt_corner,tid_corner,desired_bit,node,strike_time_ns,strike_source,strike_sink,adverse_polarity,status,qcrit_fc,lower_no_fail_fc,upper_fail_fc,iterations
low_vdd_hot,stress_not_a_fit,1,qb,1.69,0,qb,low_node_charge_injection,bracketed,1.646875,1.6437500000000003,1.6500000000000001,11
low_vdd_hot,stress_not_a_fit,1,qb,1.74,0,qb,low_node_charge_injection,bracketed,1.515625,1.5125,1.5187499999999998,9
nominal,central,0,bl,0.1,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,0.16,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,0.24,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,0.26,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,0.4,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,0.8,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,1.2,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,1.6,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,1.69,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,bl,1.74,0,bl,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,blb,0.1,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,0.16,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,0.24,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,0.26,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,0.4,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,0.8,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,1.2,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,1.6,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,1.69,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,blb,1.74,blb,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,d,0.1,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,0.16,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,0.24,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,0.26,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,0.4,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,0.8,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,1.2,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,1.6,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,1.69,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,d,1.74,0,d,low_node_charge_injection,not_bracketed,,12.8,,7
nominal,central,0,db,0.1,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,0.16,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,0.24,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,0.26,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,0.4,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,0.8,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,1.2,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,1.6,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,1.69,db,0,high_charge_removal,not_bracketed,,12.8,,7
nominal,central,0,db,1.74,db,0,high_charge_removal,not_bracketed,,12.8,,7
