let_mev_cm2_mg,differential_flux_cm2_s_per_mev_cm2_mg,aps28_global_well_sram_sigma_cm2_per_bit,kintex7_blockram_sigma_cm2_per_bit,kintex7_configuration_sram_sigma_cm2_per_bit,pointwise_low_sigma_cm2_per_bit,pointwise_median_sigma_cm2_per_bit,pointwise_high_sigma_cm2_per_bit
0.009144500000000002,799.7433353316483,0.0,0.0,0.0,0.0,0.0,0.0
0.0092469,742.912545852326,0.0,0.0,0.0,0.0,0.0,0.0
0.0093505,742.9045763123626,0.0,0.0,0.0,0.0,0.0,0.0
0.0094552,742.8487895326185,0.0,0.0,0.0,0.0,0.0,0.0
0.0095611,742.8487895326185,0.0,0.0,0.0,0.0,0.0,0.0
0.0096682,742.8487895326185,0.0,0.0,0.0,0.0,0.0,0.0
0.0097765,742.8487895326185,0.0,0.0,0.0,0.0,0.0,0.0
0.009885999999999999,525.1767445110609,0.0,0.0,0.0,0.0,0.0,0.0
0.0099967,510.1940093797853,0.0,0.0,0.0,0.0,0.0,0.0
0.010109,510.1940093797853,0.0,0.0,0.0,0.0,0.0,0.0
0.010222,510.1940093797853,0.0,0.0,0.0,0.0,0.0,0.0
0.010336,510.1940093797853,0.0,0.0,0.0,0.0,0.0,0.0
0.010452,510.1940093797853,0.0,0.0,0.0,0.0,0.0,0.0
0.010569,510.1860398398219,0.0,0.0,0.0,0.0,0.0,0.0
0.010688000000000001,510.13025306007773,0.0,0.0,0.0,0.0,0.0,0.0
0.010807,500.6704091234692,0.0,0.0,0.0,0.0,0.0,0.0
0.010928,497.95279599593465,0.0,0.0,0.0,0.0,0.0,0.0
0.011051,497.8890396762271,0.0,0.0,0.0,0.0,0.0,0.0
0.011175000000000001,497.58619715761625,0.0,0.0,0.0,0.0,0.0,0.0
0.011300000000000001,497.58619715761625,0.0,0.0,0.0,0.0,0.0,0.0
0.011426,497.58619715761625,0.0,0.0,0.0,0.0,0.0,0.0
