level	sample	node	total_rows	segment_rows	array_columns	column_mux_ratio	simultaneous_output_bits	injection_time_ns	qcrit_fc	qcrit_status	n_present	par_scale	dvth_cell_mv	dvth_ref_mv	static_sa_offset_mv	dynamic_noise_mv	equivalent_dvth_sa_mv	vth_sigma_mv	mobility_process_scale	combined_mobility_scale	tid_global_dvth_n_mv	tid_global_dvth_p_mv	tid_off_current_scale
low	25	sa	2048	256	128	4	32	2.05	3.125	resolved	118	0.9540366874669567	-19.275251095324972	-23.087201113216498	-2.215748175770136	-0.3928371639709182	-2.608585339741054	24.0	0.9349283558158026	0.9349283558158026	0.0	0.0	1.001938786
low	26	gbl	2048	256	128	4	32	1.25	9.765625	resolved	116	0.9980242245094857	29.523151306478294	-4.548027629960889	-1.301704052406832	-6.252289336218388	-7.553993388625219	24.0	1.057977393353625	1.057977393353625	0.0	0.0	1.001938786
low	26	sa	2048	256	128	4	32	2.05	3.515625	resolved	116	0.9980242245094857	29.523151306478294	-4.548027629960889	-1.301704052406832	-6.10988442701454	-7.411588479421372	24.0	1.057977393353625	1.057977393353625	0.0	0.0	1.001938786
low	27	gbl	2048	256	128	4	32	1.1	10.546875	resolved	133	1.0065368155850838	-12.055909049597084	-2.1823119080841398	3.954214262739325	-2.8529846962617844	1.1012295664775404	24.0	0.940251788681456	0.940251788681456	0.0	0.0	1.001938786
low	27	sa	2048	256	128	4	32	2.15	6.640625	resolved	133	1.0065368155850838	-12.055909049597084	-2.1823119080841398	3.954214262739325	-0.7297546130626238	3.2244596496767013	24.0	0.940251788681456	0.940251788681456	0.0	0.0	1.001938786
low	28	gbl	2048	256	128	4	32	1.4	8.59375	resolved	116	0.9295426895502066	-15.733201033853714	27.196128397658704	-6.278950920322993	12.098825692345843	5.81987477202285	24.0	0.9852726841355464	0.9852726841355464	0.0	0.0	1.001938786
low	28	sa	2048	256	128	4	32	2.15	5.078125	resolved	116	0.9295426895502066	-15.733201033853714	27.196128397658704	-6.278950920322993	-2.9222390515212546	-9.201189971844247	24.0	0.9852726841355464	0.9852726841355464	0.0	0.0	1.001938786
low	29	gbl	2048	256	128	4	32	1.4	8.984375	resolved	124	0.956731033495513	-10.724181405724064	4.81309905543568	-3.324448902551123	2.3213694384652763	-1.0030794640858467	24.0	1.021918659926991	1.021918659926991	0.0	0.0	1.001938786
low	29	sa	2048	256	128	4	32	2.35	12.5	resolved	124	0.956731033495513	-10.724181405724064	4.81309905543568	-3.324448902551123	-7.72241221016442	-11.046861112715543	24.0	1.021918659926991	1.021918659926991	0.0	0.0	1.001938786
low	30	gbl	2048	256	128	4	32	1.62	9.765625	resolved	139	1.0334032079696593	2.274340983920599	18.246662723350063	1.368218173079905	3.1507329684979686	4.518951141577873	24.0	0.9709266679743203	0.9709266679743203	0.0	0.0	1.001938786
low	30	sa	2048	256	128	4	32	2.05	3.125	resolved	139	1.0334032079696593	2.274340983920599	18.246662723350063	1.368218173079905	0.9615136586295624	2.3297318317094673	24.0	0.9709266679743203	0.9709266679743203	0.0	0.0	1.001938786
low	31	gbl	2048	256	128	4	32	1.62	11.71875	resolved	138	0.9805902623962781	13.523582083914462	-30.27790652156621	1.8871488815584208	1.751461510200274	3.6386103917586947	24.0	1.0469877301205552	1.0469877301205552	0.0	0.0	1.001938786
low	31	sa	2048	256	128	4	32	2.05	4.296875	resolved	138	0.9805902623962781	13.523582083914462	-30.27790652156621	1.8871488815584208	8.383631945140689	10.27078082669911	24.0	1.0469877301205552	1.0469877301205552	0.0	0.0	1.001938786
low	32	gbl	2048	256	128	4	32	1.4	12.109375	resolved	131	1.0257680962484725	-7.377969757347184	-30.535919262721233	0.917626474775309	2.9862830088210046	3.9039094835963137	24.0	0.9815423588164783	0.9815423588164783	0.0	0.0	1.001938786
low	32	sa	2048	256	128	4	32	2.15	7.8125	resolved	131	1.0257680962484725	-7.377969757347184	-30.535919262721233	0.917626474775309	7.5093171982045375	8.426943672979846	24.0	0.9815423588164783	0.9815423588164783	0.0	0.0	1.001938786
low	33	gbl	2048	256	128	4	32	1.25	10.546875	resolved	119	0.9437674885952136	1.680988118566018	-0.03254533114882942	3.33855163243701	2.8062108411585127	6.144762473595523	24.0	1.2017506193353789	1.2017506193353789	0.0	0.0	1.001938786
low	33	sa	2048	256	128	4	32	2.05	3.125	resolved	119	0.9437674885952136	1.680988118566018	-0.03254533114882942	3.33855163243701	-1.7717161116057714	1.5668355208312388	24.0	1.2017506193353789	1.2017506193353789	0.0	0.0	1.001938786
