level	proton_energy_mev	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
nominal	2.3236187587325836	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	2.709470088078	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	3.159394427592619	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	3.6840314986403864	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	4.295787814412312	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	5.009130066684769	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	5.840927231271547	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	6.810849482211396	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	7.9418333481344945	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	9.260624110733136	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	10.798408271867904	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	12.59155104576573	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	14.682456316378808	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	17.120569396005035	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	19.963546298206584	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	23.278617175760242	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
nominal	27.144176165949066	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_proton_LET_proxy
