level	let_mev_cm2_mg	sigma_cm2_per_active_read_bit	sigma_ci95_low	sigma_ci95_high	failed_joint_samples	joint_samples	model
low	0.30432570370431467	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.33461275054496176	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.3679140193036457	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.40452949082098744	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.4447890005757813	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.48905520987281836	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.5377268727287171	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.5912424278841669	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.6500839482997554	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.714781483712793	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.7859178353732842	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.8641338059702928	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	0.9501339720405169	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.0446930308574516	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.1486627789744865	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.2629797852852982	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.3886738277211363	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.5268771695835615	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.6788347590746675	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	1.845915443903066	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	2.0296243019878424	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	2.231616199336572	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	2.4537106972279603	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	2.697908442984415	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	2.9664091919840407	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	3.2616316232560276	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	3.5862351271600956	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	3.943143761415333	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	4.3355725912766045	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	4.767056651133094	0.0	0.0	2.2649623917122138e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
low	5.241482788417792	3.125e-12	5.52708384667501e-13	2.7993015158749602e-11	1	128	ngspice_Qcrit_plus_RPP_charge_collection
low	5.763124676680697	6.25e-12	1.7224276692343749e-12	3.27193955004777e-11	2	128	ngspice_Qcrit_plus_RPP_charge_collection
low	6.336681313226615	6.25e-12	1.7224276692343749e-12	3.27193955004777e-11	2	128	ngspice_Qcrit_plus_RPP_charge_collection
low	6.967319348107885	6.25e-12	1.7224276692343749e-12	3.27193955004777e-11	2	128	ngspice_Qcrit_plus_RPP_charge_collection
low	7.66071962577526	6.25e-12	1.7224276692343749e-12	3.27193955004777e-11	2	128	ngspice_Qcrit_plus_RPP_charge_collection
low	8.423128358638493	9.375e-12	3.213803357258595e-12	3.7124119438748445e-11	3	128	ngspice_Qcrit_plus_RPP_charge_collection
low	9.261413393512631	1.25e-11	4.914240279323604e-12	4.131978214297839e-11	4	128	ngspice_Qcrit_plus_RPP_charge_collection
low	10.183126077803173	1.5625e-11	6.7662353817100926e-12	4.536388666688688e-11	5	128	ngspice_Qcrit_plus_RPP_charge_collection
low	11.196569282726479	1.875e-11	8.735650517039675e-12	4.9290571157852264e-11	6	128	ngspice_Qcrit_plus_RPP_charge_collection
low	12.31087219632451	2.8125e-11	1.515714511206172e-11	6.055737544171512e-11	9	128	ngspice_Qcrit_plus_RPP_charge_collection
low	13.53607256001634	2.8125e-11	1.515714511206172e-11	6.055737544171512e-11	9	128	ngspice_Qcrit_plus_RPP_charge_collection
low	14.883207089480676	3.75e-11	2.2129286345897613e-11	7.127353308676413e-11	12	128	ngspice_Qcrit_plus_RPP_charge_collection
low	16.364410894388737	3.75e-11	2.2129286345897613e-11	7.127353308676413e-11	12	128	ngspice_Qcrit_plus_RPP_charge_collection
low	17.993026792569662	4.375e-11	2.3851714015131988e-11	8.134330467011969e-11	14	128	ngspice_Qcrit_plus_RPP_charge_collection
low	19.783725503320237	5e-11	2.77606389956259e-11	8.92265789422157e-11	16	128	ngspice_Qcrit_plus_RPP_charge_collection
low	21.752637802570973	6.5625e-11	3.8796088443651247e-11	1.076716276256652e-10	21	128	ngspice_Qcrit_plus_RPP_charge_collection
low	23.917499830374645	1.0000000000000002e-10	6.527596883329988e-11	1.460488431252612e-10	32	128	ngspice_Qcrit_plus_RPP_charge_collection
low	26.297812859659718	1.09375e-10	7.27060909288011e-11	1.5630701990864487e-10	35	128	ngspice_Qcrit_plus_RPP_charge_collection
low	28.915018965460593	1.3750000000000002e-10	9.661787247074733e-11	1.8546013500335337e-10	44	128	ngspice_Qcrit_plus_RPP_charge_collection
low	31.79269417706873	1.65625e-10	1.213453052968324e-10	2.13797598813923e-10	53	128	ngspice_Qcrit_plus_RPP_charge_collection
low	34.95676085303643	1.9375e-10	1.4655616433824609e-10	2.41651636409164e-10	62	128	ngspice_Qcrit_plus_RPP_charge_collection
low	38.43572119212726	2.0937500000000001e-10	1.6130737706010226e-10	2.5638092181878267e-10	67	128	ngspice_Qcrit_plus_RPP_charge_collection
low	42.26091398369991	2.4375e-10	1.9486176429972403e-10	2.876836304684055e-10	78	128	ngspice_Qcrit_plus_RPP_charge_collection
low	46.466796910356955	2.78125e-10	2.3000914830221883e-10	3.1739334235515533e-10	89	128	ngspice_Qcrit_plus_RPP_charge_collection
low	51.09125694586618	3e-10	2.539511568747388e-10	3.347240311667001e-10	96	128	ngspice_Qcrit_plus_RPP_charge_collection
low	56.175951644446236	3.21875e-10	2.7793485678179296e-10	3.5201302864371074e-10	103	128	ngspice_Qcrit_plus_RPP_charge_collection
low	61.76668439578286	3.375e-10	2.9637247689824327e-10	3.630559066587352e-10	108	128	ngspice_Qcrit_plus_RPP_charge_collection
low	67.91381702610504	3.46875e-10	3.083389012929461e-10	3.6877778114291734e-10	111	128	ngspice_Qcrit_plus_RPP_charge_collection
low	74.67272346207035	3.46875e-10	3.083389012929461e-10	3.6877778114291734e-10	111	128	ngspice_Qcrit_plus_RPP_charge_collection
low	82.10428854410439	3.59375e-10	3.2338307567160843e-10	3.7731800526943485e-10	115	128	ngspice_Qcrit_plus_RPP_charge_collection
low	90.27545648254898	3.6250000000000004e-10	3.287264669132359e-10	3.7787071365410243e-10	116	128	ngspice_Qcrit_plus_RPP_charge_collection
low	99.25983389716369	3.65625e-10	3.322487647961225e-10	3.802445153975107e-10	117	128	ngspice_Qcrit_plus_RPP_charge_collection
low	109.13835287221285	3.6875e-10	3.3581906449634136e-10	3.825703153235868e-10	118	128	ngspice_Qcrit_plus_RPP_charge_collection
low	120.0	3.7500000000000005e-10	3.4312606439917905e-10	3.870555146733391e-10	120	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.01	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.010995218165011596	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.012089482249620098	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.013292649483660822	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.014615558106387948	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.016070124998313926	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.01766945302954682	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.01942794909162924	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.021361453876120245	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.02348738456897747	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
nominal	0.025824891746143414	0.0	0.0	4.5299247834244276e-11	0	128	ngspice_Qcrit_plus_RPP_charge_collection
