path_id,rows_per_local_bitline,column_mux_ratio,pvt_corner,tid_model_corner,vdd_v,temperature_c,tid_krad_si,local_bitline_capacitance_ff,global_bitline_capacitance_ff,read_latency_s,write_latency_s,selected_read_path_energy_j,selected_write_path_energy_j,minimum_pre_sense_margin_v,minimum_final_read_margin_v,minimum_final_write_margin_v,read_correct_both_values,write_correct_both_values,timing_proxy_cycle_s,timing_proxy_max_frequency_hz,configured_500mhz_feasible,is_stress_not_a_fit
r128_m2_high_vdd_hot__tid_stress_not_a_fit,128,2,high_vdd_hot,stress_not_a_fit,0.99,85.0,14.32,20.0,3.5,4.74693e-10,5.57658e-11,2.452165e-14,1.1134549999999999e-15,0.21828800000000004,0.9160499000000001,0.9899977694090001,True,True,1.424693e-09,701905603.5230045,True,True
r128_m2_low_vdd_cold__tid_central,128,2,low_vdd_cold,central,0.81,-40.0,14.32,20.0,3.5,3.894e-10,4.05635e-11,1.6566149999999998e-14,7.31782e-16,0.2954509999999999,0.8098544764,0.8099999874912001,True,True,1.3394000000000002e-09,746602956.5477078,True,False
r128_m2_low_vdd_cold__tid_conservative,128,2,low_vdd_cold,conservative,0.81,-40.0,14.32,20.0,3.5,3.88966e-10,4.04816e-11,1.65664e-14,7.29377e-16,0.2964220000000001,0.8098533079,0.8099999874336,True,True,1.338966e-09,746844953.4939648,True,False
r128_m2_low_vdd_cold__tid_stress_not_a_fit,128,2,low_vdd_cold,stress_not_a_fit,0.81,-40.0,14.32,20.0,3.5,3.87944e-10,4.02704e-11,1.6566849999999998e-14,7.25578e-16,0.29874900000000004,0.80985376,0.8099999873349001,True,True,1.337944e-09,747415437.4174106,True,True
r128_m2_low_vdd_hot__tid_central,128,2,low_vdd_hot,central,0.81,85.0,14.32,20.0,3.5,7.05294e-10,1.04818e-10,1.3338899999999999e-14,6.93094e-16,0.09104299999999999,0.42325300000000005,0.8099988779880001,True,True,1.655294e-09,604122288.8501981,True,False
r128_m2_low_vdd_hot__tid_conservative,128,2,low_vdd_hot,conservative,0.81,85.0,14.32,20.0,3.5,7.05335e-10,1.05153e-10,1.32475e-14,6.91184e-16,0.091055,0.42313799999999996,0.809998879165,True,True,1.6553350000000003e-09,604107325.7074851,True,False
r128_m2_low_vdd_hot__tid_stress_not_a_fit,128,2,low_vdd_hot,stress_not_a_fit,0.81,85.0,14.32,20.0,3.5,7.01666e-10,1.05087e-10,1.3150150000000001e-14,6.8764e-16,0.0917650000000001,0.426557,0.80999888183,True,True,1.651666e-09,605449285.7514776,True,True
r128_m2_nominal__tid_central,128,2,nominal,central,0.9,27.0,14.32,20.0,3.5,4.40998e-10,4.99816e-11,2.052455e-14,9.06539e-16,0.23324499999999992,0.8820136000000001,0.8999999358008001,True,True,1.390998e-09,718908294.6201216,True,False
r128_m2_nominal__tid_conservative,128,2,nominal,conservative,0.9,27.0,14.32,20.0,3.5,4.41084e-10,5.00729e-11,2.0517800000000002e-14,9.0418e-16,0.233132,0.8817842,0.8999999355345,True,True,1.3910840000000002e-09,718863850.0622535,True,False
r128_m2_nominal__tid_stress_not_a_fit,128,2,nominal,stress_not_a_fit,0.9,27.0,14.32,20.0,3.5,4.40255e-10,5.00202e-11,2.05066e-14,9.00165e-16,0.2341890000000001,0.8820282,0.8999999353336,True,True,1.3902550000000002e-09,719292503.8931706,True,True
